Day	Session Name	Paper ID	Track	Session start time
Day 3	Findings poster session 1	891	Semantics: Sentence-level Semantics and Textual Inference	10:45
Day 3	Findings poster session 1	426	Sentiment Analysis and Stylistic Analysis	10:45
Day 3	Findings poster session 1	404	Sentiment Analysis and Stylistic Analysis	10:45
Day 3	Findings poster session 2	82-special	Human-Centered NLP	14:15
Day 3	Findings poster session 2	121-special	Human-Centered NLP	14:15
Day 3	Findings poster session 2	83-special	Human-Centered NLP	14:15
Day 3	Findings poster session 2	97-special	Human-Centered NLP	14:15
Day 3	Findings poster session 2	667	Speech	14:15
Day 3	Findings poster session 2	327	Summarization	14:15
Day 3	Findings poster session 2	508	Summarization	14:15
Day 3	Findings poster session 2	651	Summarization	14:15
Day 3	Findings poster session 2	31	Information Extraction	14:15
Day 3	Findings poster session 2	125	Information Extraction	14:15
Day 3	Findings poster session 2	208	Information Extraction	14:15
Day 3	Findings poster session 2	252	Information Extraction	14:15
Day 3	Findings poster session 2	306	Information Extraction	14:15
Day 3	Findings poster session 2	425	Information Extraction	14:15
Day 3	Findings poster session 2	578	Information Extraction	14:15
Day 3	Findings poster session 2	668	Information Extraction	14:15
Day 3	Findings poster session 2	864	Information Extraction	14:15
Day 3	Findings poster session 2	923	Information Extraction	14:15
Day 3	Findings poster session 2	377	Information Extraction	14:15
Day 3	Findings poster session 2	140	Information Retrieval and Text Mining	14:15
Day 3	Findings poster session 2	397	Information Retrieval and Text Mining	14:15
Day 3	Findings poster session 2	707	Language Generation	14:15
Day 3	Findings poster session 2	855	Language Generation	14:15
Day 3	Findings poster session 2	328	Language Grounding to Vision, Robotics and Beyond	14:15
Day 3	Findings poster session 2	444	Language Grounding to Vision, Robotics and Beyond	14:15
Day 3	Findings poster session 2	213	Language Grounding to Vision, Robotics and Beyond	14:15
Day 3	Findings poster session 2	77	Language Resources and Evaluation	14:15
Day 3	Findings poster session 2	234	Language Resources and Evaluation	14:15
Day 3	Findings poster session 2	19	Language Resources and Evaluation	14:15
Day 3	Findings poster session 2	314	Language Resources and Evaluation	14:15
Day 3	Findings poster session 2	57	Language Resources and Evaluation	14:15
Day 3	Findings poster session 2	78	Language Resources and Evaluation	14:15
Day 3	Findings poster session 2	214	Language Resources and Evaluation	14:15
Day 3	Findings poster session 2	782	Language Resources and Evaluation	14:15
Day 3	Findings poster session 2	325	Phonology, Morphology and Word Segmentation	14:15
Day 3	Findings poster session 2	209	Machine Translation	14:15
Day 3	Findings poster session 2	476	Machine Translation	14:15
Day 3	Findings poster session 2	441	Machine Translation	14:15
Day 3	Findings poster session 2	119	NLP Applications	14:15
Day 3	Findings poster session 2	122	NLP Applications	14:15
Day 3	Findings poster session 2	173	NLP Applications	14:15
Day 3	Findings poster session 2	216	NLP Applications	14:15
Day 3	Findings poster session 2	259	NLP Applications	14:15
Day 3	Findings poster session 2	34	NLP Applications	14:15
Day 3	Findings poster session 2	35	NLP Applications	14:15
Day 3	Findings poster session 2	44	NLP Applications	14:15
Day 3	Findings poster session 2	293	NLP Applications	14:15
Day 3	Findings poster session 2	804	NLP Applications	14:15
Day 3	Findings poster session 2	1027	NLP Applications	14:15
